Name,Age,Birth Year,Origin,Height,Weight,Category,Wins,Losses,Special Skills,Weapon of Choice,Patron Wealth,Equipment Quality,Public Favor,Injury History,Mental Resilience,Diet and Nutrition,Tactical Knowledge,Allegiance Network,Battle Experience,Psychological Profile,Health Status,Personal Motivation,Previous Occupation,Training Intensity,Battle Strategy,Social Standing,Crowd Appeal Techniques,Survived
Lucius Galerius,26,24,Germania,171,71,Provocator,13,4,Speed,Gladius (Sword),High,Superior,0.9229690304176795,Low,5.49838545753094,Excellent,Advanced,Strong,17,Stoic,Excellent,Survival,Laborer,Medium,Defensive,High,Humble,True
Hirrus Appius,21,29,Numidia,166,76,Secutor,8,0,Speed,Dagger,Low,Basic,0.7583900250150097,High,3.106516593004115,Poor,Advanced,Strong,8,Stoic,Excellent,Wealth,Unemployed,High,Defensive,Medium,Humble,True
Catilius Laberius,41,9,Thrace,169,67,Provocator,10,3,Novice,Gladius (Sword),Medium,Standard,0.7651117280227452,Low,1.0386359302039874,Adequate,Basic,Strong,13,Stoic,Good,Wealth,Criminal,Low,Aggressive,Medium,Humble,True
Granius Galerius,31,19,Numidia,169,62,Provocator,8,0,Novice,Dagger,Low,Basic,0.9196866207161933,Low,7.442828280416709,Poor,Intermediate,Strong,8,Stoic,Excellent,Wealth,Laborer,Medium,Balanced,Low,Humble,True
Galerius Numerius,32,18,Rome,172,94,Secutor,5,0,Endurance,Dagger,Low,Basic,0.5852069178628792,Low,4.70115190960155,Poor,Expert,Moderate,5,Stoic,Excellent,Glory,Criminal,Medium,Balanced,Medium,Charismatic,True
Caninius Tiberius,23,27,Greece,164,73,Retiarius,8,2,Speed,Net,Medium,Standard,0.6932838167941147,High,3.897274301753317,Adequate,Advanced,Moderate,10,Calculative,Excellent,Vengeance,Laborer,Medium,Aggressive,Medium,Charismatic,True
Pinarus Opimius,28,22,Gaul,189,90,Retiarius,4,1,Novice,Net,Low,Basic,0.4888806116817698,Low,7.556104454982147,Poor,Intermediate,Moderate,5,Aggressive,Excellent,Glory,Unemployed,Low,Balanced,Medium,Charismatic,False
Perperna Mallius,43,7,Numidia,165,97,Provocator,13,1,Novice,Dagger,Medium,Standard,0.8817504334073824,High,0.9455175285113049,Adequate,Intermediate,Strong,14,Fearful,Fair,Freedom,Criminal,Medium,Balanced,High,Humble,True
Lollius Matinius,32,18,Greece,189,66,Hoplomachus,7,4,Novice,Dagger,High,Superior,0.5436585173777828,Low,5.41430133460122,Excellent,Intermediate,Strong,11,Calculative,Excellent,Glory,Laborer,Medium,Balanced,Medium,Charismatic,True
Quintus Antonius,39,11,Gaul,177,66,Thraex,9,3,Novice,Sica (Curved Sword),High,Superior,0.8547807916293066,High,1.0621878201270991,Excellent,Basic,Strong,12,Calculative,Good,Freedom,Criminal,Medium,Aggressive,Medium,Humble,True
Cispius Cosconius,23,27,Greece,178,68,Provocator,7,2,Endurance,Dagger,Low,Basic,0.8201627018488122,Low,3.809759145229964,Poor,Advanced,Strong,9,Aggressive,Excellent,Glory,Criminal,Medium,Balanced,Medium,Intimidating,True
Numicius Vibius,38,12,Rome,157,90,Thraex,8,2,Novice,Sica (Curved Sword),Medium,Standard,0.68066888066395,Low,0.9810883903852368,Adequate,Basic,Moderate,10,Aggressive,Good,Freedom,Unemployed,Low,Balanced,Low,Humble,True
Fulvius Numonius,37,13,Germania,174,69,Hoplomachus,9,6,Novice,Dagger,Medium,Standard,0.5319565039364418,Low,6.285500029296879,Adequate,Basic,Moderate,15,Aggressive,Good,Survival,Entertainer,Low,Balanced,Medium,Intimidating,True
Munatius Percennius,28,22,Numidia,163,65,Provocator,5,1,Agility,Dagger,High,Superior,0.5241089579869582,Low,2.5866959556690463,Excellent,Advanced,Strong,6,Stoic,Excellent,Wealth,Criminal,Medium,Balanced,High,Intimidating,True
Longinius Sextus,29,21,Rome,182,116,Murmillo,4,0,Novice,Gladius (Sword),Medium,Standard,0.6046353358002995,Low,7.4364237627581975,Adequate,Intermediate,Moderate,4,Fearful,Excellent,Survival,Criminal,Medium,Balanced,Medium,Humble,True
Lucretius Nigidius,43,7,Thrace,174,83,Hoplomachus,13,6,Novice,Spear,Low,Basic,0.7266222402407767,High,3.1804268204853092,Poor,Basic,Strong,19,Fearful,Fair,Glory,Entertainer,Low,Balanced,Low,Flamboyant,True
Fannius Orestius,33,17,Rome,176,89,Secutor,9,2,Novice,Dagger,Low,Basic,0.7814837888325685,Low,6.830919022805665,Poor,Basic,Strong,11,Stoic,Excellent,Survival,Unemployed,Medium,Aggressive,Medium,Intimidating,True
Latinius Fulvius,39,11,Greece,158,82,Secutor,7,1,Novice,Dagger,High,Superior,0.6833387353189114,Low,4.323167912197536,Excellent,Basic,Strong,8,Fearful,Excellent,Vengeance,Criminal,Low,Aggressive,Medium,Charismatic,True
Egnatius Baebius,44,6,Thrace,157,83,Secutor,11,5,Novice,Dagger,Low,Basic,0.7388852109900452,High,3.931161589073913,Poor,Basic,Strong,16,Calculative,Fair,Survival,Unemployed,Medium,Balanced,Medium,Flamboyant,True
Nonius Agrippa,25,25,Rome,173,86,Retiarius,6,0,Novice,Trident,High,Superior,0.7823589269071833,Low,4.150729764593565,Excellent,Intermediate,Strong,6,Stoic,Excellent,Freedom,Unemployed,Low,Balanced,Low,Humble,True
Fundanus Gnaeus,21,29,Germania,180,101,Secutor,6,0,Agility,Dagger,Low,Basic,0.7450695280349581,Low,4.723052401045668,Poor,Advanced,Strong,6,Calculative,Excellent,Freedom,Criminal,Medium,Defensive,Medium,Flamboyant,True
Petilius Didius,34,16,Gaul,182,82,Hoplomachus,9,0,Strength,Dagger,Low,Basic,0.8984744977035575,Low,3.806464757080804,Poor,Expert,Strong,9,Aggressive,Excellent,Glory,Laborer,Low,Balanced,Low,Charismatic,True
Bruttius Marcus,20,30,Greece,164,87,Hoplomachus,5,2,Novice,Dagger,Medium,Standard,0.6502378738917655,Low,6.971078716491626,Adequate,Intermediate,Moderate,7,Calculative,Excellent,Survival,Laborer,Medium,Balanced,Medium,Humble,True
Paconius Granius,36,14,Thrace,181,103,Retiarius,11,0,Tactics,Net,Low,Basic,0.8903846962166452,High,3.5877232744277405,Poor,Advanced,Strong,11,Stoic,Fair,Wealth,Criminal,Medium,Balanced,Medium,Flamboyant,True
Cocceius Numitorius,28,22,Thrace,174,94,Secutor,5,0,Novice,Gladius (Sword),Medium,Standard,0.6257809310441744,High,4.752434592812136,Adequate,Intermediate,Moderate,5,Aggressive,Good,Freedom,Entertainer,Medium,Balanced,Medium,Intimidating,True
Gracchus Fabrinius,43,7,Rome,181,101,Secutor,11,1,Novice,Gladius (Sword),Low,Basic,0.9140634822812836,Low,1.9449081535284842,Poor,Basic,Strong,12,Calculative,Good,Glory,Entertainer,Medium,Aggressive,Low,Humble,True
Atilius Marius,45,5,Greece,167,92,Thraex,7,2,Novice,Dagger,Low,Basic,0.6953149403931262,Low,4.898001024598559,Poor,Basic,Moderate,9,Stoic,Good,Vengeance,Entertainer,Medium,Balanced,Medium,Intimidating,True
Vibius Pinarus,37,13,Rome,164,94,Provocator,11,1,Novice,Gladius (Sword),High,Superior,0.9850875372222623,High,1.4511209588889926,Excellent,Intermediate,Strong,12,Calculative,Good,Survival,Laborer,Medium,Balanced,High,Flamboyant,True
Sempronius Cilnius,39,11,Numidia,188,96,Murmillo,11,3,Novice,Dagger,Low,Basic,0.7455181135972785,Low,1.8309955519068304,Poor,Basic,Strong,14,Stoic,Good,Survival,Entertainer,Medium,Aggressive,High,Charismatic,True
Lartius Petilius,45,5,Numidia,168,108,Murmillo,10,4,Novice,Dagger,Low,Basic,0.7117768082863106,High,4.153716203537353,Poor,Basic,Strong,14,Aggressive,Fair,Glory,Laborer,Medium,Balanced,Medium,Flamboyant,True
Nasidienus Paternus,26,24,Rome,177,79,Hoplomachus,6,2,Novice,Spear,Low,Basic,0.6183200634607057,Low,7.80346105409678,Poor,Intermediate,Moderate,8,Calculative,Excellent,Vengeance,Unemployed,Medium,Aggressive,Medium,Charismatic,True
Gaius Pacilius,38,12,Gaul,199,84,Retiarius,7,0,Novice,Trident,High,Superior,0.7269663510092051,Low,6.9889502715166465,Excellent,Basic,Strong,7,Stoic,Excellent,Survival,Unemployed,Medium,Aggressive,Medium,Flamboyant,True
Nasidius Caelius,40,10,Greece,162,72,Retiarius,8,1,Novice,Net,Medium,Standard,0.8608984324066512,High,5.124281423802333,Adequate,Basic,Strong,9,Calculative,Fair,Wealth,Entertainer,Medium,Aggressive,High,Humble,True
Opellius Marcus,30,20,Thrace,204,78,Provocator,8,2,Novice,Dagger,Medium,Standard,0.7194093108758169,High,2.3795989186670568,Adequate,Intermediate,Strong,10,Calculative,Good,Glory,Entertainer,Low,Balanced,High,Humble,True
Considius Caedicius,35,15,Thrace,177,93,Retiarius,9,3,Endurance,Trident,Low,Basic,0.7476252263036282,Low,7.380367664517329,Poor,Advanced,Strong,12,Stoic,Excellent,Freedom,Unemployed,Medium,Aggressive,Medium,Humble,True
Iunius Minicius,20,30,Greece,183,93,Thraex,6,0,Strength,Sica (Curved Sword),High,Superior,0.6972188853943342,Low,8.50814935039779,Excellent,Advanced,Strong,6,Aggressive,Excellent,Freedom,Unemployed,High,Balanced,High,Charismatic,True
Longinius Memmius,36,14,Gaul,175,101,Murmillo,14,0,Novice,Gladius (Sword),High,Superior,0.8849912395956894,Low,7.302657241639972,Excellent,Intermediate,Strong,14,Fearful,Excellent,Vengeance,Criminal,Medium,Aggressive,Medium,Flamboyant,True
Sextius Hostius,32,18,Gaul,174,84,Thraex,5,0,Novice,Dagger,Medium,Standard,0.6823490039012121,Low,4.607938001128651,Adequate,Basic,Moderate,5,Stoic,Excellent,Glory,Unemployed,Medium,Balanced,Medium,Intimidating,True
Petilius Minicius,18,32,Rome,160,96,Secutor,4,1,Novice,Gladius (Sword),Low,Basic,0.5746149892358322,Low,5.966280141110763,Poor,Basic,Moderate,5,Stoic,Excellent,Vengeance,Criminal,High,Balanced,Medium,Humble,False
Norbanus Gabinius,35,15,Thrace,186,81,Retiarius,8,0,Novice,Trident,Medium,Standard,0.7145780829594993,Low,2.874919767246236,Adequate,Basic,Strong,8,Aggressive,Excellent,Glory,Unemployed,Medium,Balanced,Low,Humble,True
Octavius Cilnius,42,8,Gaul,167,83,Retiarius,13,2,Novice,Net,Medium,Standard,0.9253571515224307,High,0.9339146941611601,Adequate,Basic,Strong,15,Calculative,Fair,Wealth,Unemployed,Medium,Aggressive,High,Humble,True
Opimius Catilius,22,28,Numidia,169,89,Thraex,12,1,Agility,Dagger,Low,Basic,0.8965757944152751,Low,6.692906030992737,Poor,Expert,Strong,13,Fearful,Excellent,Survival,Soldier,Low,Aggressive,Medium,Intimidating,True
Aelius Octavenus,43,7,Germania,181,98,Murmillo,12,2,Novice,Gladius (Sword),Low,Basic,0.9344098822873588,Low,5.011451136440493,Poor,Basic,Strong,14,Stoic,Good,Survival,Laborer,Medium,Aggressive,Medium,Intimidating,True
Nasidienus Cocceius,32,18,Thrace,177,99,Murmillo,8,0,Novice,Gladius (Sword),Low,Basic,0.8838592374608615,Low,7.547596243702012,Poor,Intermediate,Strong,8,Stoic,Excellent,Glory,Criminal,Medium,Aggressive,High,Intimidating,True
Laetorius Bruttius,28,22,Numidia,187,43,Murmillo,12,2,Novice,Dagger,High,Superior,0.8149212859860593,Low,1.041844175312563,Excellent,Intermediate,Strong,14,Stoic,Excellent,Vengeance,Entertainer,Low,Balanced,High,Intimidating,True
Matinius Junius,34,16,Thrace,178,84,Hoplomachus,10,6,Strength,Spear,Low,Basic,0.5957700592255614,Low,2.818632636634062,Poor,Expert,Moderate,16,Calculative,Excellent,Survival,Unemployed,Medium,Aggressive,Low,Humble,True
Gnaeus Hostius,42,8,Numidia,178,72,Hoplomachus,6,0,Novice,Spear,Low,Basic,0.7464396816471681,Low,2.3618394881486253,Poor,Basic,Strong,6,Stoic,Good,Glory,Unemployed,Medium,Balanced,Low,Flamboyant,True
Duronius Ollius,38,12,Gaul,169,77,Murmillo,3,0,Novice,Dagger,Low,Basic,0.5040356018631601,Low,5.292848203977727,Poor,Basic,Moderate,3,Calculative,Good,Freedom,Entertainer,Medium,Balanced,Medium,Humble,True
Festinius Valerius,25,25,Gaul,164,90,Secutor,4,2,Novice,Dagger,Medium,Standard,0.4501926767569916,High,7.69394638113829,Adequate,Intermediate,Moderate,6,Stoic,Excellent,Vengeance,Entertainer,Low,Balanced,Medium,Intimidating,False
Pedius Coruncanius,36,14,Gaul,169,86,Secutor,14,3,Novice,Dagger,Low,Basic,0.9851017677184101,Low,8.899126567304533,Poor,Basic,Strong,17,Fearful,Excellent,Vengeance,Unemployed,Low,Balanced,High,Intimidating,False
Ovidius Gaius,19,31,Gaul,180,92,Murmillo,2,0,Novice,Dagger,Medium,Standard,0.4145338985400482,Low,5.478880178129015,Adequate,Intermediate,Moderate,2,Stoic,Excellent,Glory,Soldier,High,Balanced,Medium,Humble,False
Gaius Albinius,29,21,Rome,169,81,Thraex,5,0,Speed,Sica (Curved Sword),High,Superior,0.6751216650844601,Low,5.724542000774668,Excellent,Advanced,Strong,5,Fearful,Excellent,Survival,Criminal,Low,Defensive,High,Humble,True
Mallius Acilius,34,16,Greece,181,68,Secutor,8,5,Strength,Dagger,Low,Basic,0.4660764951269813,High,1.5369673268135216,Poor,Advanced,Moderate,13,Fearful,Good,Vengeance,Criminal,Medium,Aggressive,Medium,Intimidating,True
Sempronius Sextus,28,22,Numidia,180,61,Hoplomachus,3,0,Speed,Spear,Medium,Standard,0.522696857714197,Low,4.550241380578023,Adequate,Advanced,Moderate,3,Aggressive,Excellent,Wealth,Entertainer,Medium,Aggressive,Low,Charismatic,False
Aemilius Nautius,27,23,Numidia,185,98,Murmillo,11,2,Speed,Dagger,Low,Basic,0.764037193340447,Low,3.0425151735353126,Poor,Advanced,Strong,13,Calculative,Excellent,Freedom,Entertainer,Medium,Balanced,High,Humble,True
Coruncanius Orchius,26,24,Thrace,173,73,Retiarius,7,1,Novice,Trident,High,Superior,0.5973548017617436,Low,0.9904504362173839,Excellent,Intermediate,Strong,8,Stoic,Excellent,Glory,Criminal,Low,Balanced,Low,Intimidating,True
Nigidius Lacerius,43,7,Greece,180,84,Hoplomachus,12,2,Novice,Dagger,Low,Basic,0.77261198188361,High,0.9394107745953932,Poor,Basic,Strong,14,Aggressive,Fair,Vengeance,Unemployed,Low,Balanced,Medium,Intimidating,True
Appius Fulvius,38,12,Germania,178,66,Hoplomachus,8,2,Strength,Spear,Low,Basic,0.6599107173713383,Low,5.367321739419801,Poor,Advanced,Moderate,10,Stoic,Good,Wealth,Entertainer,Low,Balanced,Medium,Humble,True
Horatius Opellius,41,9,Thrace,168,58,Thraex,13,6,Novice,Dagger,Medium,Standard,0.626835002018365,High,1.035924266099198,Adequate,Basic,Moderate,19,Stoic,Fair,Glory,Laborer,Low,Aggressive,Medium,Charismatic,True
Herennius Atilius,24,26,Gaul,178,65,Secutor,5,1,Endurance,Dagger,Medium,Standard,0.5876980837813587,Low,4.5411294991764475,Adequate,Expert,Moderate,6,Stoic,Excellent,Survival,Criminal,High,Aggressive,Medium,Charismatic,False
Hortensius Aemilius,35,15,Greece,150,86,Provocator,5,1,Novice,Dagger,Medium,Standard,0.6230744845996182,Low,0.9957525608606517,Adequate,Intermediate,Moderate,6,Aggressive,Excellent,Survival,Laborer,Medium,Balanced,Medium,Intimidating,True
Lucretius Maecenas,25,25,Rome,183,71,Thraex,10,0,Agility,Sica (Curved Sword),Medium,Standard,0.9711352636092955,Low,1.8677869486490255,Adequate,Expert,Strong,10,Calculative,Excellent,Glory,Criminal,Medium,Defensive,Medium,Humble,True
Decentius Caelius,29,21,Gaul,184,60,Thraex,7,1,Endurance,Sica (Curved Sword),Low,Basic,0.6656137934880875,Low,4.48630261059613,Poor,Advanced,Moderate,8,Aggressive,Excellent,Freedom,Criminal,Medium,Aggressive,Medium,Intimidating,True
Afranius Geminius,36,14,Rome,171,68,Provocator,8,1,Novice,Dagger,Low,Basic,0.874850004445136,High,1.0496617281043867,Poor,Intermediate,Strong,9,Stoic,Fair,Vengeance,Laborer,Medium,Aggressive,High,Flamboyant,True
Blaesus Lacerius,29,21,Numidia,160,91,Hoplomachus,8,5,Novice,Spear,Medium,Standard,0.5629966883680096,High,1.0137479256224415,Adequate,Intermediate,Moderate,13,Aggressive,Good,Survival,Entertainer,Medium,Balanced,Medium,Charismatic,False
Sextius Cornificius,39,11,Germania,180,52,Retiarius,12,2,Novice,Net,Medium,Standard,0.7408379788797714,High,1.0923614143365863,Adequate,Basic,Strong,14,Stoic,Fair,Survival,Unemployed,Low,Balanced,Low,Flamboyant,True
Balbus Tiberius,44,6,Gaul,191,79,Retiarius,10,1,Novice,Net,High,Superior,0.8498024210514288,High,1.5603603811451923,Excellent,Basic,Strong,11,Calculative,Fair,Wealth,Laborer,Medium,Aggressive,Medium,Intimidating,True
Messalla Agrippa,23,27,Gaul,179,89,Thraex,6,0,Agility,Dagger,Low,Basic,0.640745166711202,Low,2.7735600919193284,Poor,Advanced,Moderate,6,Aggressive,Excellent,Glory,Entertainer,High,Balanced,Medium,Humble,True
Longinius Publius,39,11,Gaul,172,94,Secutor,10,0,Novice,Dagger,Medium,Standard,0.8766344358955904,Low,1.6500508434002985,Adequate,Basic,Strong,10,Calculative,Good,Survival,Entertainer,Low,Aggressive,High,Charismatic,True
Caninius Murena,32,18,Thrace,187,77,Thraex,9,4,Speed,Dagger,High,Superior,0.7084684244421424,High,3.3356846364285486,Excellent,Advanced,Strong,13,Calculative,Good,Survival,Laborer,Medium,Balanced,Medium,Charismatic,True
Marcus Gracchus,43,7,Gaul,192,86,Secutor,17,6,Novice,Gladius (Sword),Low,Basic,0.9891225192388452,High,1.0300752922861443,Poor,Basic,Strong,23,Calculative,Fair,Glory,Laborer,Medium,Aggressive,Medium,Intimidating,True
Aelius Geminius,33,17,Numidia,168,105,Thraex,7,0,Agility,Dagger,Medium,Standard,0.7201925917145584,Low,2.7150404423480263,Adequate,Advanced,Strong,7,Calculative,Excellent,Survival,Unemployed,Medium,Balanced,Medium,Charismatic,True
Laecanius Bruttius,40,10,Greece,180,80,Secutor,13,4,Novice,Gladius (Sword),Low,Basic,0.8430160392824669,High,0.9736239934405333,Poor,Basic,Strong,17,Stoic,Fair,Freedom,Unemployed,Low,Balanced,Medium,Humble,True
Caedicius Ovidius,37,13,Rome,160,86,Hoplomachus,12,3,Novice,Spear,Medium,Standard,0.8738741483657583,Low,4.813270877686226,Adequate,Basic,Strong,15,Calculative,Good,Vengeance,Laborer,Low,Balanced,High,Charismatic,True
Ofilius Oppius,44,6,Greece,160,60,Provocator,7,1,Novice,Gladius (Sword),Low,Basic,0.607414617114034,Low,1.3211598784462744,Poor,Basic,Moderate,8,Calculative,Good,Wealth,Laborer,Medium,Balanced,Medium,Humble,True
Junius Paternus,43,7,Greece,170,85,Murmillo,9,2,Novice,Dagger,Medium,Standard,0.652473198702023,Low,4.969193106705447,Adequate,Basic,Moderate,11,Stoic,Good,Glory,Criminal,Medium,Balanced,Medium,Charismatic,True
Sextus Didius,32,18,Thrace,180,100,Murmillo,3,1,Novice,Gladius (Sword),High,Superior,0.5483509932333391,Low,0.9282169558510078,Excellent,Intermediate,Strong,4,Calculative,Excellent,Wealth,Criminal,Low,Aggressive,Medium,Intimidating,False
Oppius Lucius,39,11,Gaul,175,73,Provocator,12,8,Tactics,Dagger,High,Superior,0.5840302117415217,High,2.0171670565552438,Excellent,Advanced,Strong,20,Calculative,Good,Wealth,Unemployed,Medium,Aggressive,High,Intimidating,True
Hordeonius Avidius,25,25,Germania,172,70,Retiarius,7,0,Novice,Trident,Medium,Standard,0.7935155861510532,Low,7.387540452439662,Adequate,Basic,Strong,7,Calculative,Excellent,Survival,Unemployed,Low,Aggressive,High,Intimidating,True
Catilius Cicereius,27,23,Gaul,185,76,Hoplomachus,6,0,Speed,Spear,High,Superior,0.8181720028179897,Low,5.6235959837279,Excellent,Advanced,Strong,6,Fearful,Excellent,Freedom,Unemployed,Medium,Balanced,Medium,Humble,False
Perperna Galerius,41,9,Gaul,163,81,Provocator,8,2,Novice,Dagger,Low,Basic,0.6375636303329479,Low,6.072209542323081,Poor,Basic,Moderate,10,Calculative,Good,Freedom,Unemployed,Medium,Balanced,Medium,Intimidating,True
Hirrus Cominius,43,7,Gaul,179,88,Murmillo,13,0,Novice,Dagger,High,Superior,0.8490046024717511,Low,3.674506318144505,Excellent,Basic,Strong,13,Stoic,Good,Survival,Laborer,Low,Balanced,High,Charismatic,True
Claudius Manius,42,8,Greece,167,71,Hoplomachus,6,1,Novice,Dagger,Low,Basic,0.6877734966466745,Low,1.014460432411438,Poor,Basic,Moderate,7,Calculative,Good,Freedom,Laborer,Medium,Aggressive,Medium,Intimidating,True
Titus Messalla,22,28,Germania,203,115,Murmillo,8,4,Novice,Gladius (Sword),High,Superior,0.537479732539686,High,4.493125060675398,Excellent,Basic,Strong,12,Aggressive,Excellent,Glory,Soldier,Medium,Aggressive,High,Humble,False
Cilnius Papinius,18,32,Rome,176,62,Thraex,9,0,Speed,Dagger,Medium,Standard,0.8853678816770423,High,7.117628738157674,Adequate,Advanced,Strong,9,Calculative,Excellent,Survival,Criminal,High,Aggressive,Medium,Humble,True
Aelius Pacilius,23,27,Germania,163,77,Murmillo,9,2,Novice,Gladius (Sword),Medium,Standard,0.743442400066098,Low,7.435077044855743,Adequate,Intermediate,Strong,11,Stoic,Excellent,Glory,Entertainer,Medium,Balanced,Medium,Intimidating,True
Cordius Nautius,29,21,Greece,195,91,Secutor,6,1,Novice,Dagger,High,Superior,0.7123343206637179,Low,4.463566734980859,Excellent,Basic,Strong,7,Calculative,Excellent,Vengeance,Unemployed,Medium,Aggressive,Medium,Humble,True
Gaius Laetorius,34,16,Rome,169,74,Provocator,4,0,Endurance,Gladius (Sword),Medium,Standard,0.5255147364062501,Low,2.654260909639071,Adequate,Advanced,Moderate,4,Calculative,Excellent,Survival,Laborer,Low,Balanced,Low,Humble,True
Laetorius Modius,30,20,Rome,172,94,Thraex,7,3,Endurance,Dagger,Low,Basic,0.5830240202798009,Low,3.1579619436869075,Poor,Expert,Moderate,10,Stoic,Excellent,Glory,Laborer,Medium,Aggressive,Medium,Humble,True
Publius Ostorius,22,28,Numidia,155,72,Thraex,5,1,Novice,Sica (Curved Sword),Medium,Standard,0.5987394636087855,Low,7.0205549563930845,Adequate,Intermediate,Moderate,6,Calculative,Excellent,Glory,Laborer,Low,Balanced,Medium,Charismatic,True
Octavius Duronius,24,26,Germania,196,106,Secutor,4,2,Speed,Gladius (Sword),Medium,Standard,0.5260512693933229,High,2.214306336326881,Adequate,Expert,Moderate,6,Fearful,Excellent,Freedom,Laborer,Medium,Balanced,Medium,Intimidating,False
Laberius Granius,39,11,Germania,172,75,Secutor,7,1,Novice,Gladius (Sword),Medium,Standard,0.7108251240174105,Low,5.871167412874691,Adequate,Basic,Strong,8,Calculative,Good,Glory,Entertainer,Low,Balanced,Medium,Humble,True
Catius Caedicius,29,21,Numidia,172,90,Murmillo,10,2,Strength,Gladius (Sword),Low,Basic,0.7006063451899812,High,5.704114490645322,Poor,Advanced,Strong,12,Stoic,Good,Survival,Criminal,Medium,Balanced,Medium,Intimidating,True
Acilius Publius,32,18,Gaul,173,93,Thraex,0,0,Novice,Sica (Curved Sword),Medium,Standard,0.3751952246676438,Low,1.9890328448611694,Adequate,Intermediate,Moderate,0,Stoic,Excellent,Glory,Laborer,Low,Aggressive,Medium,Humble,False
Norbanus Julius,39,11,Gaul,162,85,Secutor,7,2,Novice,Dagger,Low,Basic,0.6406480574791622,Low,4.4330857031332425,Poor,Basic,Moderate,9,Aggressive,Good,Wealth,Unemployed,Medium,Aggressive,Low,Humble,True
Matienus Numonius,29,21,Thrace,185,78,Provocator,7,2,Strength,Dagger,Medium,Standard,0.6598942909244097,Low,6.179548281058575,Adequate,Advanced,Moderate,9,Calculative,Excellent,Freedom,Criminal,Medium,Balanced,Medium,Intimidating,True
Calpurnius Mescinius,31,19,Rome,187,89,Murmillo,11,2,Novice,Dagger,Low,Basic,0.8340603733302286,High,2.618911540477646,Poor,Intermediate,Strong,13,Stoic,Good,Glory,Unemployed,Medium,Aggressive,Medium,Charismatic,False
Horatius Mamilius,45,5,Greece,187,75,Retiarius,8,1,Novice,Net,High,Superior,0.7370860484904097,Low,3.8636098947668507,Excellent,Basic,Strong,9,Calculative,Good,Wealth,Entertainer,Low,Aggressive,High,Charismatic,True
Cassius Nasidius,22,28,Gaul,174,91,Hoplomachus,2,0,Novice,Spear,Low,Basic,0.5144451958861712,Low,3.441616673617399,Poor,Intermediate,Moderate,2,Fearful,Excellent,Wealth,Soldier,Medium,Balanced,Medium,Intimidating,False
Pinarus Musonius,42,8,Germania,183,95,Thraex,13,2,Novice,Sica (Curved Sword),Low,Basic,0.8811006815544573,Low,6.312238959279256,Poor,Basic,Strong,15,Fearful,Good,Glory,Unemployed,Low,Balanced,High,Humble,True
Calpurnius Cilnius,24,26,Rome,175,75,Hoplomachus,4,1,Agility,Dagger,Low,Basic,0.5495501112958378,Low,4.821725926668173,Poor,Expert,Moderate,5,Stoic,Excellent,Freedom,Criminal,Medium,Aggressive,Medium,Charismatic,False
Sextius Gabinius,32,18,Gaul,164,75,Thraex,8,0,Endurance,Dagger,High,Superior,0.6899597422285421,Low,3.1062181158791127,Excellent,Advanced,Strong,8,Stoic,Excellent,Survival,Criminal,Medium,Defensive,Low,Intimidating,True
Iunius Burrienus,33,17,Numidia,173,74,Provocator,7,1,Novice,Dagger,Medium,Standard,0.6989884543614079,Low,5.214191244130475,Adequate,Basic,Moderate,8,Stoic,Excellent,Survival,Criminal,Medium,Balanced,Medium,Intimidating,True
Calpurnius Julius,18,32,Gaul,173,108,Provocator,2,0,Agility,Dagger,Medium,Standard,0.5261826051147985,Low,5.509076571255687,Adequate,Advanced,Moderate,2,Aggressive,Excellent,Freedom,Entertainer,Medium,Balanced,Low,Humble,False
Pasidienus Octavius,41,9,Numidia,164,68,Murmillo,11,2,Novice,Dagger,Low,Basic,0.9620587074824689,Low,2.7522696693336774,Poor,Basic,Strong,13,Calculative,Good,Glory,Unemployed,Medium,Balanced,High,Flamboyant,True
Palpellius Sextus,34,16,Gaul,179,101,Hoplomachus,8,1,Novice,Dagger,Medium,Standard,0.7379029499706787,High,0.9828152288099752,Adequate,Basic,Strong,9,Calculative,Good,Survival,Unemployed,Medium,Balanced,Medium,Flamboyant,True
Opimius Fundanus,30,20,Numidia,167,56,Provocator,4,0,Novice,Gladius (Sword),High,Superior,0.7976876231289117,Low,3.880341662690455,Excellent,Intermediate,Strong,4,Fearful,Excellent,Wealth,Laborer,Medium,Aggressive,Low,Humble,True
Publius Mucius,23,27,Thrace,167,95,Provocator,3,0,Strength,Dagger,Medium,Standard,0.552181488457669,Low,3.872942906148326,Adequate,Advanced,Moderate,3,Stoic,Excellent,Survival,Unemployed,High,Balanced,Low,Intimidating,True
Lamponius Mamilius,38,12,Germania,180,78,Retiarius,12,1,Novice,Trident,High,Superior,0.8213079504929036,Low,7.545401610545935,Excellent,Basic,Strong,13,Fearful,Excellent,Survival,Unemployed,Medium,Aggressive,Medium,Intimidating,True
Decimus Cispius,36,14,Germania,176,56,Hoplomachus,9,0,Novice,Dagger,Low,Basic,0.9024654169251105,Low,4.706714386948886,Poor,Intermediate,Strong,9,Aggressive,Excellent,Vengeance,Laborer,Medium,Balanced,High,Humble,True
Nasidius Cicereius,32,18,Numidia,167,71,Secutor,3,0,Novice,Dagger,Medium,Standard,0.5150102785692479,Low,3.5267762837958485,Adequate,Intermediate,Moderate,3,Stoic,Excellent,Vengeance,Unemployed,Medium,Balanced,Low,Charismatic,True
